IREF_EXT [A],"V(IREF_EXT) (nom, temp=27C) [V]","V(IREF_EXT) (tttt, temp=27) [V]","V(IREF_EXT) (rcff, temp=-40) [V]","V(IREF_EXT) (rcff, temp=85) [V]","V(IREF_EXT) (rcss, temp=-40) [V]","V(IREF_EXT) (rcss, temp=85) [V]","V(IREF_EXT) (rxfs, temp=-40) [V]","V(IREF_EXT) (rxfs, temp=85) [V]","V(IREF_EXT) (rxsf, temp=-40) [V]","V(IREF_EXT) (rxsf, temp=85) [V]"
3.4e-06,1.077311728490653,1.077311728490653,1.088823829124493,1.160581866234148,0.991288161,1.061857604171276,0.9912881174272211,1.061857565586674,1.088823892075452,1.160581920474075
3.5e-06,1.075821102791797,1.075821102791797,1.087567486761665,1.159003949233455,0.9899121388618966,1.060140272880547,0.9899120957205606,1.060140234296054,1.087567549712626,1.159004003
3.599999999999999e-06,1.074359250367974,1.074359250367974,1.086335016991073,1.157457223681991,0.9885619377257722,1.058456263184606,0.9885618945843655,1.058456224600206,1.08633508,1.157457277921862
3.699999999999999e-06,1.072924774742484,1.072924774742484,1.085125276,1.155940151734925,0.9872363282053257,1.056803947217148,0.9872362850638569,1.056803908632839,1.085125338837649,1.155940205974771
3.799999999999999e-06,1.071516383772855,1.071516383772855,1.083937204168205,1.154451311789986,0.9859341717522974,1.055181819316391,0.9859341286107675,1.055181780732165,1.083937267119168,1.154451366
3.899999999999999e-06,1.070132879285975,1.070132879285975,1.082769818853619,1.152989386835815,0.984654411,1.053588483842149,0.9846543682133757,1.053588445258004,1.082769881804579,1.152989441075615
3.999999999999999e-06,1.068773148,1.068773148,1.081622205929113,1.151553154238841,0.9833960637443069,1.052022644490152,0.9833960206026655,1.052022605906079,1.081622268880081,1.151553208478621
4.099999999999999e-06,1.067436153434512,1.067436153434512,1.080493513889885,1.150141476759277,0.982158213,1.050483094886738,0.9821581693803366,1.050483056302743,1.080493576840848,1.150141530999041
4.199999999999999e-06,1.066120929000659,1.066120929000659,1.079382948029458,1.148753294621756,0.9809400020815682,1.048968710283009,0.9809399589398319,1.048968671699077,1.079383010980426,1.148753348861499
4.299999999999999e-06,1.064826571567737,1.064826571567737,1.078289765375294,1.147387618495064,0.9797406322139466,1.047478440196771,0.9797405890721631,1.047478402,1.078289828326258,1.147387672734792
4.399999999999999e-06,1.063552235973015,1.063552235973015,1.077213270183879,1.146043523257422,0.978559353,1.046011301874531,0.9785593101652105,1.046011263290717,1.077213333134844,1.146043577497133
4.499999999999998e-06,1.062297130038222,1.062297130038222,1.076152809922369,1.144720142444018,0.9773954620610253,1.044566374465622,0.9773954189191612,1.044566335881864,1.076152872873336,1.144720196683715
4.599999999999998e-06,1.061060510129906,1.061060510129906,1.075107771674299,1.143416663288337,0.9762482976542937,1.043142793816598,0.9762482545123917,1.043142755,1.075107834625265,1.143416718
4.699999999999998e-06,1.059841677180935,1.059841677180935,1.074077578916599,1.142132322282129,0.9751172383035329,1.041739747807976,0.9751171951615949,1.041739709224319,1.074077641867564,1.142132376521798
4.799999999999998e-06,1.058639973,1.058639973,1.073061688622235,1.140866401190143,0.9740016981700818,1.040356472166247,0.9740016550281091,1.040356433582638,1.073061751573203,1.140866455429798
4.899999999999998e-06,1.057454777635701,1.057454777635701,1.072059588649593,1.139618223,0.9729011245710801,1.038992246693941,0.9729010814290737,1.038992208110376,1.072059651600559,1.139618277703862
5e-06,1.056285505307054,1.056285505307054,1.071070795384761,1.138387151009466,0.9718149954597871,1.037646391868185,0.9718149523177495,1.037646353284664,1.071070858335727,1.138387205249098
