# Resistor 1 (temperature control): 5b'10101, resistor 2 (voltage control): 5b'01100

LDO_VIN [V],"BG_REF (rcss, temp=-40) [V]","BG_REF (rcss, temp=85) [V]","BG_REF (rxsf, temp=-40) [V]","BG_REF (rxsf, temp=85) [V]","BG_REF (rxfs, temp=-40) [V]","BG_REF (rxfs, temp=85) [V]","BG_REF (rcff, temp=-40) [V]","BG_REF (rcff, temp=85) [V]","BG_REF (tttt, temp=27) [V]","BG_REF (nom, temp=27) [V]"
0.8640000000000005,0.8245865412216077,1.89692759045092e-05,0.8332099448292324,5.886968045901483e-05,0.7213331509902321,9.263442355763687e-06,0.8227626671389696,5.717040080303719e-05,0.1076730009617119,0.1076730009617119
0.8960000000000006,0.8301089107193182,3.051344684268219e-05,0.818725134124207,6.230853458276613e-05,0.7654742062430365,1.219993080013365e-05,0.8066911459427422,5.979456778518447e-05,0.144596887873851,0.144596887873851
0.9280000000000006,0.796684849336716,5.995524805280043e-05,0.7792011421709086,6.650818974660738e-05,0.7647947101961019,1.581869158724588e-05,0.7670177726335942,6.291455584002188e-05,0.1872799578627664,0.1872799578627664
0.9600000000000006,0.761873546756678,0.0001470922329326012,0.7566292257462145,7.179506944717409e-05,0.7452212925631733,2.046409056475661e-05,0.7468537822483531,6.676328448182653e-05,0.2362380479420624,0.2362380479420624
0.9920000000000007,0.7470664435702966,0.0003920903739802854,0.7484835459052201,7.852995465151929e-05,0.7348567312302439,2.773100861554594e-05,0.7395858068534984,7.157120430482615e-05,0.2936702757963006,0.2936702757963006
1.024000000000001,0.7416782621144042,0.001095392979026871,0.7460240020629566,8.710859800023626e-05,0.7306140445442819,4.336938096480634e-05,0.7373025911818697,7.754294152967524e-05,0.5929386162444281,0.5929386162444281
1.056000000000001,0.7401290932488693,0.003111510866116991,0.7458263694846062,9.796836954758438e-05,0.729316526953144,8.477268832139113e-05,0.7370135221288655,8.482161113524571e-05,0.6153935206953515,0.6153935206953515
1.088000000000001,0.7402990492526954,0.008554476229639027,0.7466778710997115,0.0001116544196558216,0.7294346608561213,0.0001972940401603005,0.7376429850388539,9.348217275032766e-05,0.6335384926555369,0.6335384926555369
1.120000000000001,0.7413176355390059,0.02156208567945346,0.7480859995399696,0.0001289916735626909,0.7302863170149637,0.0004864699519808292,0.7387400596092383,0.0001035637820500937,0.6489494009032578,0.6489494009032578
1.152000000000001,0.7428126383286778,0.04438279112394652,0.7498230497083276,0.0001514062534685338,0.731534667858371,0.001194540510180452,0.7402320600997319,0.0001151031038101721,0.6624299082309841,0.6624299082309841
1.184000000000001,0.7445831221970843,0.06428928973340935,0.7517831586894227,0.0001815805964275051,0.7330207088004616,0.002888406337624029,0.7416162521672599,0.0001281542444295115,0.6744676936606649,0.6744676936606649
1.216000000000001,0.7465407332175044,0.08072307853570011,0.7541957597016368,0.0002249979377866646,0.7348657397002204,0.006883802493223511,0.74336680848683,0.0001428033792660446,0.6853818870427436,0.6853818870427436
1.248000000000001,0.7486295565038443,0.09786096495070314,0.7562149430512501,0.0002939460095279882,0.7362238316980516,0.0161196552035262,0.7449317741064447,0.0001591871253494234,0.6953848177178235,0.6953848177178235
1.280000000000001,0.7508231248149373,0.1603364892593008,0.7585987236611763,0.0004194579656454736,0.7379627131020058,0.03630150260498872,0.7466861650600258,0.0001775217061584849,0.7040842801622408,0.7040842801622408
1.312000000000001,0.7531054674943766,0.2577596329556092,0.7610591181019467,0.0006786543001180374,0.7401150831157951,0.07567671220853081,0.7484937652385293,0.0001981515375108705,0.713041736407789,0.713041736407789
1.344000000000001,0.7554757145022508,0.5775844545336917,0.7637543854724906,0.001268068674493189,0.7420366771571361,0.1375638240564356,0.7503534431802448,0.0002216375644407312,0.7210223560366753,0.7210223560366753
1.376000000000001,0.7579351321720743,0.6371914795804479,0.7665772818721581,0.002658092105424279,0.7439553056876934,0.200353714281872,0.7522670728933641,0.0002489257593032304,0.7286660851219994,0.7286660851219994
