VREF [V],"IREF (tttt, temp=27) [A]","IREF (rcff, temp=-40) [A]","IREF (rcff, temp=85) [A]","IREF (rcss, temp=-40) [A]","IREF (rcss, temp=85) [A]","IREF (rxfs, temp=-40) [A]","IREF (rxfs, temp=85) [A]","IREF (rxsf, temp=-40) [A]","IREF (rxsf, temp=85) [A]"
0.9000000000000006,2.081463304415545e-06,4.652846168045533e-06,4.423552425996933e-06,1.670353732734118e-06,2.175198514439131e-06,3.242887827610062e-06,3.367158020703833e-06,1.607867673388183e-06,2.028545712151496e-06
0.9300000000000006,2.091022296235858e-06,4.705682164956505e-06,4.458935219580882e-06,1.674692576684908e-06,2.179201559445715e-06,3.285502898193514e-06,3.396950502074638e-06,1.612094081056467e-06,2.032344298485865e-06
0.9600000000000006,2.100559023199546e-06,4.75875633223979e-06,4.494359949397096e-06,1.678996909575023e-06,2.183144485431427e-06,3.328384909024649e-06,3.426816890548103e-06,1.616287416513116e-06,2.036087828416354e-06
0.9900000000000007,2.110077048678429e-06,4.812074670428791e-06,4.529836580807443e-06,1.683269459888568e-06,2.187032809760609e-06,3.371537526503986e-06,3.456763772855389e-06,1.620450298108109e-06,2.039781300611108e-06
1.020000000000001,2.119579488402403e-06,4.865642373590907e-06,4.565373739800736e-06,1.687512661234411e-06,2.190871332149441e-06,3.414963976495543e-06,3.486796826232954e-06,1.624585038658053e-06,2.043429056486244e-06
1.050000000000001,2.129069109935424e-06,4.919464010515929e-06,4.60097892615555e-06,1.69172866300433e-06,2.194664227036497e-06,3.458667136697401e-06,3.516921081323367e-06,1.628693695184167e-06,2.047034908103538e-06
1.080000000000001,2.138548350439075e-06,4.973543535374182e-06,4.636658737261188e-06,1.695919404979993e-06,2.198415214112998e-06,3.502649540194412e-06,3.547140922175309e-06,1.632778122202991e-06,2.050602216330131e-06
1.110000000000001,2.14801939483227e-06,5.027884454694066e-06,4.672418910750241e-06,1.700086627991102e-06,2.202127529901105e-06,3.546913453617904e-06,3.577460224799402e-06,1.636839985937242e-06,2.054133929918377e-06
1.140000000000001,2.157484211318385e-06,5.0824898380202e-06,4.708264562530405e-06,1.704231898784389e-06,2.205804087626035e-06,3.591460905567388e-06,3.607882445986057e-06,1.640880789184804e-06,2.057632702745392e-06
1.170000000000001,2.166944547832552e-06,5.137362403178548e-06,4.744200193889912e-06,1.708356649103468e-06,2.209447477216059e-06,3.636293704374126e-06,3.638410637516323e-06,1.644901910398586e-06,2.061100904471201e-06
1.200000000000001,2.176401992437784e-06,5.192504548250844e-06,4.780229808737078e-06,1.712462186346972e-06,2.213060004382356e-06,3.681413480733696e-06,3.669047531427019e-06,1.648904582370234e-06,2.06454061698602e-06
1.230000000000001,2.185857983983121e-06,5.247918397759866e-06,4.816356973996437e-06,1.716549682910415e-06,2.216643736804286e-06,3.726821712574989e-06,3.699795603959579e-06,1.652889959731694e-06,2.067953762307949e-06
1.260000000000001,2.195313822761771e-06,5.303605841749294e-06,4.85258489776844e-06,1.72062023302961e-06,2.220200571630954e-06,3.772519710849352e-06,3.730657057796485e-06,1.656859065664504e-06,2.071342045739553e-06
1.290000000000001,2.204770709590955e-06,5.359568546441841e-06,4.888916432882171e-06,1.724674831464388e-06,2.22373218929593e-06,3.818508676374009e-06,3.761633882457396e-06,1.6608128700595e-06,2.074707019816711e-06
1.320000000000001,2.21422973160106e-06,5.415807996871825e-06,4.925354176371331e-06,1.728714401920304e-06,2.227240138782377e-06,3.864789692726632e-06,3.792727896931716e-06,1.664752261095101e-06,2.078050112730321e-06
1.350000000000001,2.223691872893776e-06,5.472325507543309e-06,4.961900462368805e-06,1.7327397863905e-06,2.2307258234122e-06,3.911363733350768e-06,3.82394073902045e-06,1.668678038131885e-06,2.081372596351881e-06
1.380000000000001,2.233158067832799e-06,5.529122250851804e-06,4.998557401186519e-06,1.736751766471986e-06,2.234190522162322e-06,3.958231682872125e-06,3.855273900863345e-06,1.672590961450579e-06,2.084675646629617e-06
1.410000000000001,2.24262914775313e-06,5.586199264189707e-06,5.035326889973577e-06,1.740751084681922e-06,2.237635410980971e-06,4.005394337098565e-06,3.886728750255166e-06,1.676491734488492e-06,2.08796035424663e-06
1.440000000000001,2.252105915568061e-06,5.643557460604432e-06,5.072210680217824e-06,1.744738419588618e-06,2.241061576998532e-06,4.052852424336393e-06,3.918306537751128e-06,1.680381018050367e-06,2.091227706857322e-06
1.470000000000001,2.261589078267614e-06,5.701197639456558e-06,5.109210352876846e-06,1.748714389364256e-06,2.244470004316696e-06,4.100606605390354e-06,3.950008386008754e-06,1.684259419650245e-06,2.094478617509109e-06
1.5,2.271079307314674e-06,5.759120507736105e-06,5.146327364563251e-06,1.752679597970161e-06,2.24786160953559e-06,4.148657459352776e-06,3.981835385711143e-06,1.688127500616885e-06,2.097713935300559e-06
