Time [s],Capacitor voltage [V]
0.4031429266,0.528298
0.4031698266,0.526128
0.4031967266,0.524236
0.4032236266,0.52606
0.4032504266,0.524716
0.4032771266,0.527791
0.4033039266,0.527405
0.4033306266,0.527697
0.4033574266,0.528651
0.4033842266,0.527585
0.4034109266,0.52864
0.4034377266,0.524664
0.4034645266,0.526635
0.4034913266,0.528869
0.4035181266,0.528636
0.4035449266,0.528993
0.4035717266,0.524686
0.4035985266,0.526939
0.4036253266,0.528332
0.4036521266,0.528392
0.4036790266,0.525726
0.4037058266,0.526732
0.4037326266,0.529826
0.4037595266,0.529304
0.4037863266,0.527416
0.4038132266,0.528448
0.4038400266,0.529395
0.4038669266,0.527438
0.4038938266,0.528009
0.4039207266,0.527987
0.4039476266,0.525516
0.4039744266,0.528531
0.4040013266,0.525264
0.4040282266,0.528347
0.4040551266,0.527314
0.4040820266,0.527003
0.4041088266,0.523969
0.4041355266,0.526162
0.4041623266,0.524911
0.4041890266,0.527825
0.4042158266,0.525989
0.4042426266,0.529793
0.4042693266,0.525655
0.4042961266,0.527348
0.4043229266,0.526725
0.4043497266,0.52701
0.4043765266,0.525253
0.4044033266,0.52772
0.4044301266,0.52659
0.4044569266,0.524765
0.4044837266,0.527679
0.4045105266,0.525805
0.4045374266,0.524956
0.4045642266,0.525002
0.4045910266,0.527153
0.4046179266,0.528047
0.4046447266,0.523946
0.4046716266,0.525865
0.4046985266,0.528231
0.4047253266,0.526087
0.4047522266,0.527724
0.4047791266,0.528565
0.4048060266,0.528809
0.4048329266,0.52549
0.4048597266,0.530161
0.4048867266,0.528321
0.4049136266,0.526413
0.4049404266,0.528182
0.4049672266,0.527555
0.4049939266,0.527281
0.4050207266,0.526526
0.4050474266,0.5268
0.4050742266,0.529079
0.4051009266,0.526042
0.4051277266,0.526654
0.4051545266,0.525869
0.4051813266,0.525715
0.4052081266,0.525914
0.4052349266,0.523657
0.4052617266,0.525985
0.4052885266,0.527994
0.4053153266,0.529087
0.4053421266,0.529755
0.4053689266,0.527483
0.4053957266,0.52852
0.4054226266,0.526582
0.4054494266,0.528993
0.4054763266,0.530423
0.4055031266,0.525722
0.4055300266,0.528707
0.4055568266,0.527825
0.4055837266,0.527416
0.4056106266,0.527592
0.4056375266,0.52713
0.4056643266,0.526113
0.4056912266,0.526721
0.4057181266,0.528302
0.4057450266,0.527911
0.4057719266,0.525794
0.4057988266,0.526316
0.4058256266,0.528715
0.4058523266,0.529376
0.4058791266,0.527495
0.4059058266,0.527709
0.4059326266,0.525508
0.4059593266,0.527573
0.4059861266,0.52897
0.4060129266,0.529458
0.4060397266,0.527112
0.4060665266,0.530074
0.4060933266,0.529612
0.4061201266,0.530164
0.4061469266,0.530025
0.4061737266,0.528636
0.4062005266,0.527239
0.4062273266,0.528193
0.4062541266,0.528666
0.4062810266,0.529338
0.4063078266,0.528794
0.4063347266,0.530574
0.4063615266,0.529256
0.4063884266,0.526796
0.4064152266,0.530637
0.4064421266,0.527671
0.4064690266,0.528381
0.4064959266,0.53051
0.4065227266,0.527934
0.4065496266,0.529916
0.4065765266,0.52671
0.4066034266,0.530427
0.4066303266,0.525602
0.4066572266,0.52778
0.4066839266,0.530405
0.4067107266,0.526901
0.4067374266,0.526338
0.4067642266,0.528324
0.4067909266,0.528028
0.4068177266,0.528734
0.4068445266,0.527112
0.4068713266,0.528174
0.4068980266,0.530881
0.4069248266,0.529042
0.4069516266,0.530938
0.4069784266,0.529199
0.4070052266,0.527697
0.4070321266,0.532166
0.4070589266,0.530465
0.4070857266,0.530622
0.4071125266,0.529049
0.4071394266,0.530187
0.4071662266,0.529946
0.4071930266,0.529357
0.4072199266,0.529875
0.4072468266,0.52962
0.4072736266,0.529008
0.4073005266,0.529214
0.4073274266,0.529635
0.4073542266,0.530641
0.4073811266,0.527356
0.4074080266,0.52974
0.4074349266,0.531561
0.4074618266,0.529778
0.4074887266,0.531415
0.4075156266,0.529455
0.4075424266,0.529943
0.4075691266,0.530671
0.4075959266,0.528584
0.4076226266,0.530844
0.4076494266,0.529729
0.4076761266,0.530833
0.4077029266,0.52968
0.4077297266,0.530739
0.4077565266,0.529665
0.4077833266,0.529826
0.4078101266,0.529616
0.4078369266,0.53194
0.4078637266,0.52784
0.4078905266,0.529661
0.4079173266,0.528602
0.4079441266,0.52891
0.4079709266,0.529785
0.4079978266,0.526124
0.4080246266,0.529109
0.4080515266,0.528614
0.4080783266,0.530153
0.4081052266,0.528895
0.4081320266,0.529447
0.4081589266,0.530228
0.4081858266,0.532323
0.4082127266,0.531411
0.4082395266,0.526301
0.4082664266,0.527337
0.4082933266,0.541612
0.4083202266,0.530172
0.4083471266,0.527371
0.4083740266,0.528144
0.4084008266,0.526875
0.4084275266,0.529019
0.4084543266,0.527573
0.4084810266,0.530007
0.4085078266,0.530705
0.4085346266,0.527123
0.4085613266,0.528719
0.4085881266,0.528133
0.4086149266,0.529714
0.4086417266,0.529297
0.4086685266,0.529687
0.4086953266,0.527607
0.4087221266,0.527288
0.4087489266,0.526657
0.4087757266,0.530089
0.4088025266,0.52882
0.4088294266,0.532184
0.4088562266,0.529522
0.4088830266,0.529965
0.4089099266,0.527495
0.4089367266,0.526943
0.4089636266,0.529214
